*003911 0ＴＭＰゼロ補正警報上限OHDF              mmHg                
*003921 0ＴＭＰゼロ補正警報下限OHDF              mmHg                
*003931 0ＴＭＰゼロ補正警報中点OHF               mmHg                
*003941 0ＴＭＰゼロ補正警報上限OHF               mmHg                
*003951 0ＴＭＰゼロ補正警報下限OHF               mmHg                
*003961 2補液速度操作範囲上限（OHDF）            L/h                 
*003971 2補液速度操作範囲上限（OHF）             L/h                 
*003983 0補液開始遅延時間                        分                  
#004001 0QBプログラム血流量1                     mL/min              
#004011 0QBプログラム血流量2                     mL/min              
#004021 0QBプログラム血流量3                     mL/min              
#004031 0QBプログラム血流量4                     mL/min              
#004041 0QBプログラム血流量5                     mL/min              
#004051 0QBプログラム血流量6                     mL/min              
#004061 0QBプログラム血流量7                     mL/min              
#004071 0QBプログラム血流量8                     mL/min              
#004081 0QBプログラム血流量9                     mL/min              
#004091 0QBプログラム血流量10                    mL/min              
#004101 0QDプログラム透析液流量1                 mL/min              
#004111 0QDプログラム透析液流量2                 mL/min              
#004121 0QDプログラム透析液流量3                 mL/min              
#004131 0QDプログラム透析液流量4                 mL/min              
#004141 0QDプログラム透析液流量5                 mL/min              
#004151 0QDプログラム透析液流量6                 mL/min              
#004161 0QDプログラム透析液流量7                 mL/min              
#004171 0QDプログラム透析液流量8                 mL/min              
#004181 0QDプログラム透析液流量9                 mL/min              
#004191 0QDプログラム透析液流量10                mL/min              
#004203 0QB,QBプログラム切替時間1                分                  
#004213 0QB,QBプログラム切替時間2                分                  
#004223 0QB,QBプログラム切替時間3                分                  
#004233 0QB,QBプログラム切替時間4                分                  
#004243 0QB,QBプログラム切替時間5                分                  
#004253 0QB,QBプログラム切替時間6                分                  
#004263 0QB,QBプログラム切替時間7                分                  
#004273 0QB,QBプログラム切替時間8                分                  
#004283 0QB,QBプログラム切替時間9                分                  
#004291 0QB,QDプログラム最大ステップ数                               
#004300 0QBプログラム電源                                            
#004310 0QDプログラム電源                                            
#004320 0I-HDFプログラム使用選択"                                    
#004331 0予定補液回数                                                
#004341 0補液バランス制限                        mL                  
#004351 0補液量01                                mL                  
#004361 0補液量02                                mL                  
#004371 0補液量03                                mL                  
#004381 0補液量04                                mL                  
#004391 0補液量05                                mL                  
#004401 0補液量06                                mL                  
#004411 0補液量07                                mL                  
#004421 0補液量08                                mL                  
#004431 0補液量09                                mL                  
#004441 0補液量10                                mL                  
#004451 0補液量11                                mL                  
#004461 0補液量12                                mL                  
#004471 0補液量13                                mL                  
#004481 0補液量14                                mL                  
#004491 0補液量15                                mL                  
#004501 0補液量16                                mL                  
#004511 0回収量01                                mL                  
#004521 0回収量02                                mL                  
#004531 0回収量03                                mL                  
#004541 0回収量04                                mL                  
#004551 0回収量05                                mL                  
#004561 0回収量06                                mL                  
#004571 0回収量07                                mL                  
#004581 0回収量08                                mL                  
#004591 0回収量09                                mL                  
#004601 0回収量10                                mL                  
#004611 0回収量11                                mL                  
#004621 0回収量12                                mL                  
#004631 0回収量13                                mL                  
#004641 0回収量14                                mL                  
#004651 0回収量15                                mL                  
#004661 0回収量16                                mL                  
#004671 1ダイアライザー膜面積                                        
#004681 0VA確認報知基準値(静的静脈圧)            mmHg                
#004691 2VA確認報知基準値(アクセス内圧力比率)                        
#004701 0静的静脈圧記録 自動実施選択                                 
#004711 0血圧測定 自動実施選択                                       
#004721 0TMP閾値　速度低下                       mmHg                
#004731 0TMP閾値　速度復帰                       mmHg                
#004741 0速度変化率　速度低下                    %                   
#004751 0速度変化率　速度復帰                    &                   
#004761 1ΔSO2低下報知点                         %                   
